hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
SSUF 	S	*	S	*	------	SEA SURFACE TRACK	
SSUF.CBTT 	S	*	S	*	C-----	COMBATANT	
SSUF.CBTT.LNE 	S	*	S	*	CL----	LINE	
SSUF.CBTT.LNE.CRR 	S	*	S	*	CLCV--	CARRIER	
SSUF.CBTT.LNE.BBS 	S	*	S	*	CLBB--	BATTLESHIP	
SSUF.CBTT.LNE.CRU 	S	*	S	*	CLCC--	CRUISER	
SSUF.CBTT.LNE.DD 	S	*	S	*	CLDD--	DESTROYER	
SSUF.CBTT.LNE.FFR 	S	*	S	*	CLFF--	FRIGATE/CORVETTE	
SSUF.CBTT.LNE.LL 	S	*	S	*	CLLL--	LITTORAL COMBATANT	
SSUF.CBTT.LNE.LL.ASBW 	S	*	S	*	CLLLAS	ANTISUBMARINE WARFARE MISSION PACKAGE	
SSUF.CBTT.LNE.LL.MNEW 	S	*	S	*	CLLLMI	MINE WARFARE MISSION PACKAGE	
SSUF.CBTT.LNE.LL.SUW 	S	*	S	*	CLLLSU	SURFACE WARFARE (SUW) MISSION PACKAGE	
SSUF.CBTT.AMPWS 	S	*	S	*	CA----	AMPHIBIOUS WARFARE SHIP	
SSUF.CBTT.AMPWS.ASTVES 	S	*	S	*	CALA--	ASSAULT VESSEL	
SSUF.CBTT.AMPWS.LNDSHP 	S	*	S	*	CALS--	LANDING SHIP	
SSUF.CBTT.AMPWS.LNDSHP.MDM 	S	*	S	*	CALSM-	LANDING SHIP MEDIUM	
SSUF.CBTT.AMPWS.LNDSHP.TANK 	S	*	S	*	CALST-	LANDING SHIP TANK	
SSUF.CBTT.AMPWS.LNDCRT 	S	*	S	*	CALC--	LANDING CRAFT	
SSUF.CBTT.MNEWV 	S	*	S	*	CM----	MINE WARFARE VESSEL	
SSUF.CBTT.MNEWV.MNELYR 	S	*	S	*	CMML--	MINELAYER	
SSUF.CBTT.MNEWV.MNESWE 	S	*	S	*	CMMS--	MINESWEEPER	
SSUF.CBTT.MNEWV.MNEHNT 	S	*	S	*	CMMH--	MINEHUNTER	
SSUF.CBTT.MNEWV.MCMSUP 	S	*	S	*	CMMA--	MCM SUPPORT	
SSUF.CBTT.PAT 	S	*	S	*	CP----	PATROL	
SSUF.CBTT.PAT.ASBW 	S	*	S	*	CPSB--	ANTISUBMARINE WARFARE	
SSUF.CBTT.PAT.ASUW 	S	*	S	*	CPSU--	ANTISURFACE WARFARE	
SSUF.CBTT.PAT.ASUW.ASMSL 	S	*	S	*	CPSUM-	ANTISHIP MISSILE PATROL CRAFT	
SSUF.CBTT.PAT.ASUW.TPD 	S	*	S	*	CPSUT-	TORPEDO PATROL CRAFT	
SSUF.CBTT.PAT.ASUW.GUN 	S	*	S	*	CPSUG-	GUN PATROL CRAFT	
SSUF.CBTT.HOV 	S	*	S	*	CH----	HOVERCRAFT	
SSUF.CBTT.NAVGRP 	S	*	S	*	G-----	NAVY GROUP	
SSUF.CBTT.NAVGRP.NAVTF 	S	*	S	*	GT----	NAVY TASK FORCE	
SSUF.CBTT.NAVGRP.NAVTG 	S	*	S	*	GG----	NAVY TASK GROUP	
SSUF.CBTT.NAVGRP.NAVTU 	S	*	S	*	GU----	NAVY TASK UNIT	
SSUF.CBTT.NAVGRP.CNY 	S	*	S	*	GC----	CONVOY	
SSUF.CBTT.SUFDCY 	S	*	S	*	CD----	SURFACE DECOY	
SSUF.CBTT.USV 	S	*	S	*	CU----	UNMANNED SURFACE VEHICLE	
SSUF.CBTT.USV.MNECM 	S	*	S	*	CUM---	MINE COUNTERMEASURES SURFACE DRONE	
SSUF.CBTT.USV.ASBW 	S	*	S	*	CUS---	ANTISUBMARINE WARFARE SURFACE DRONE	
SSUF.CBTT.USV.ASUW 	S	*	S	*	CUN---	ANTISURFACE WARFARE SURFACE DRONE	
SSUF.CBTT.USV.RMV 	S	*	S	*	CUR---	REMOTE MULTIMISSION VEHICLE	
SSUF.NCBTT 	S	*	S	*	N-----	NONCOMBATANT	
SSUF.NCBTT.UWRPM 	S	*	S	*	NR----	UNDERWAY REPLENISHMENT	
SSUF.NCBTT.FLTSUP 	S	*	S	*	NF----	FLEET SUPPORT	
SSUF.NCBTT.INT 	S	*	S	*	NI----	INTELLIGENCE	
SSUF.NCBTT.SSH 	S	*	S	*	NS----	SERVICE & SUPPORT HARBOR	
SSUF.NCBTT.HSPSHP 	S	*	S	*	NM----	HOSPITAL SHIP	
SSUF.NCBTT.HOV 	S	*	S	*	NH----	HOVERCRAFT	
SSUF.NMIL 	S	*	S	*	X-----	NON-MILITARY	N/A
SSUF.NMIL.MCT 	S	*	S	*	XM----	MERCHANT	
SSUF.NMIL.MCT.CGO 	S	*	S	*	XMC---	CARGO	
SSUF.NMIL.MCT.RORO 	S	*	S	*	XMR---	ROLL ON/ROLL OFF	
SSUF.NMIL.MCT.OLR 	S	*	S	*	XMO---	OILER/TANKER	
SSUF.NMIL.MCT.TUG 	S	*	S	*	XMTU--	TUG	
SSUF.NMIL.MCT.FRY 	S	*	S	*	XMF---	FERRY	
SSUF.NMIL.MCT.PSG 	S	*	S	*	XMP---	PASSENGER	
SSUF.NMIL.MCT.HAZMAT 	S	*	S	*	XMH---	HAZARDOUS MATERIALS (HAZMAT)	
SSUF.NMIL.MCT.TOWVES 	S	*	S	*	XMTO--	TOWING VESSEL	
SSUF.NMIL.FSG 	S	*	S	*	XF----	FISHING	
SSUF.NMIL.FSG.DRFT 	S	*	S	*	XFDF--	DRIFTER	
SSUF.NMIL.FSG.DRG 	S	*	S	*	XFDR--	DREDGE	
SSUF.NMIL.FSG.TRW 	S	*	S	*	XFTR--	TRAWLER	
SSUF.NMIL.LESCRT 	S	*	S	*	XR----	LEISURE CRAFT	
SSUF.NMIL.LAWENV 	S	*	S	*	XL----	LAW ENFORCEMENT VESSEL	
SSUF.NMIL.HOV 	S	*	S	*	XH----	HOVERCRAFT	
SSUF.NMIL.FSTREC 	S	*	S	*	XA----	FAST RECREACTIONAL CRAFT	
SSUF.NMIL.FSTREC.RHIB 	S	*	S	*	XAR---	RIGID-HULL INFLATABLE BOAT	
SSUF.NMIL.FSTREC.SPDBT 	S	*	S	*	XAS---	SPEED BOAT	
SSUF.NMIL.PWC 	S	*	S	*	XP----	PERSONAL WATERCRAFT	
SSUF.OWN 	S	*	S	*	O-----	OWN TRACK	
